,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
Hippocampusl,0.345974244,0.363580013,0.234519361,0.36099648,0.221568896,0.274818174,0.176939508,0.155029303,0.093187988,0.099384422,-0.055494602,0.00095096,0.054344119,-0.03055439,0.031249711,0.097330149,0.300042177,0.290795761,0.072777468,0.200264849,0.208953513,0.226739972,-0.040586047,-0.027184778,0.426697437,NaN,0.185576824,0.40075072,0.025266746,0.205114661,0.290946671,0.224726662,0.237680175,0.130736957,0.17269348,0.301582753
Amygdalar,0.480343627,0.405466572,0.402589579,0.312107545,0.099014341,0.179326266,0.328086677,0.190287821,0.272147567,0.153646055,0.082333469,0.01534475,0.008983888,0.12329569,0.058230063,0.070513229,0.499761913,0.299941835,0.165368426,0.294410994,0.299871492,0.229813941,0.131934203,0.054987536,0.240745122,0.185576824,NaN,0.320812734,0.132544823,0.058803998,0.152401532,0.290413207,0.397815088,0.15414442,0.331282409,0.40688328
Amygdalal,0.183035659,0.120133195,0.202180751,0.176247435,0.295897447,0.179041548,0.084093117,0.078894529,0.220166537,0.226041175,-0.061538732,0.022902772,0.042959078,-0.052745053,0.259453346,0.207134816,0.323579671,0.460437546,0.121303313,0.214190057,0.299778067,0.3096307,0.144518643,-0.017562594,0.207388611,0.40075072,0.320812734,NaN,0.05934768,0.070947371,0.225388089,0.221739745,0.31626757,0.095164336,0.236992756,0.295872076
Accumbensr,0.257492669,0.361184948,0.15661618,0.347795613,0.335270943,0.227432096,0.09112706,0.121719903,0.236141095,0.040420383,-0.042703557,-0.022979854,0.110708111,0.053865262,0.06936823,0.173992057,0.267822237,0.191626937,0.221962474,0.328214293,0.13521005,0.211320358,0.065920318,-0.047377777,0.377636639,0.025266746,0.132544823,0.05934768,NaN,0.371290519,0.235423117,0.270409516,0.260953288,0.183020499,0.272732239,0.289169511
Accumbensl,0.185176209,0.29169974,0.189584308,0.281316532,0.147262844,0.034068911,0.078545473,0.15487562,0.086710312,0.116183056,-0.004270489,0.123251425,0.200428692,0.155738734,-0.006383402,0.145727991,0.366471473,0.188507692,0.360187485,0.468109746,0.230409443,0.447405717,0.036675242,0.097377962,0.304065613,0.205114661,0.058803998,0.070947371,0.371290519,NaN,0.035973229,0.367413485,0.254311922,0.123417323,0.153742292,0.237034646
mPFC,0.235986276,0.195691361,0.236467526,0.24378096,0.278586881,0.365023147,0.369510869,0.280606563,0.20290691,0.223895339,0.000970398,0.080308416,0.226284444,0.212297201,0.289323171,0.304464555,0.252564037,0.267054044,0.098489273,0.188839788,0.032388078,0.098113551,-0.033905728,-0.021187339,0.258245844,0.290946671,0.152401532,0.225388089,0.235423117,0.035973229,NaN,0.236958966,0.56793457,0.498948226,0.345256076,0.211068019
AIns,0.37339167,0.303606545,0.410042703,0.429283595,0.266988618,0.130835284,0.374558833,0.259767721,0.213321404,0.459116201,0.045205186,0.088751821,0.40169818,0.187571626,0.112977761,0.299573277,0.580156156,0.375143252,0.37945625,0.416223732,0.383450729,0.539199773,0.304776108,0.289646612,0.228486095,0.224726662,0.290413207,0.221739745,0.270409516,0.367413485,0.236958966,NaN,0.714297298,0.189396307,0.583956532,0.565963607
AC,0.42615295,0.275850489,0.357867218,0.348891368,0.30033839,0.358500497,0.362630196,0.198462759,0.326091003,0.440305206,0.154284062,0.076799749,0.352480101,0.231165901,0.293010056,0.309192719,0.59523925,0.420336724,0.326753806,0.381642435,0.312072461,0.381578944,0.179011538,0.179061749,0.169677486,0.237680175,0.397815088,0.31626757,0.260953288,0.254311922,0.56793457,0.714297298,NaN,0.465448151,0.55738847,0.517887868
PC,0.267527751,0.335651474,0.17018165,0.313076107,0.315218963,0.269730843,0.410666969,0.399849323,0.467522282,0.285206675,0.376964198,0.401219854,0.28063313,0.372464808,0.143383844,0.126215657,0.360126382,0.322059554,0.110598397,0.064476149,-0.11679817,0.009643157,-0.058434119,0.027687939,0.191034634,0.130736957,0.15414442,0.095164336,0.183020499,0.123417323,0.498948226,0.189396307,0.465448151,NaN,0.318489673,0.24537404
FOrbr,0.51694228,0.398362743,0.435416926,0.522772684,0.218786626,0.360136463,0.586075948,0.49171081,0.244118612,0.292862247,0.072023923,-0.055866287,0.377047974,0.372871227,0.301540611,0.317449516,0.474407386,0.362584263,0.320759623,0.352442633,0.202453356,0.316400363,0.160429495,0.121178082,0.215725041,0.17269348,0.331282409,0.236992756,0.272732239,0.153742292,0.345256076,0.583956532,0.55738847,0.318489673,NaN,0.623359771
FOrbl,0.521226331,0.569617925,0.429520681,0.608347531,0.435680769,0.534995406,0.450949243,0.560925889,0.199311079,0.222621523,0.015729485,-0.135575486,0.285983348,0.197614924,0.10456283,0.124543038,0.520172334,0.417033947,0.297533049,0.45202776,0.225762398,0.359965945,0.074393957,0.152070308,0.280794196,0.301582753,0.40688328,0.295872076,0.289169511,0.237034646,0.211068019,0.565963607,0.517887868,0.24537404,0.623359771,NaN
