,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
Putamenr,0.259666475,0.149171003,-0.013359166,0.096391664,0.17358766,0.128230364,-0.031432033,0.14188816,0.06396685,0.280661624,-0.032049839,-0.228782302,0.033772251,-0.328357984,0.187103981,0.391668443,0.447058285,0.180548084,0.346727043,0.684143607,NA,1.203458365,0.508432117,0.382434555,0.283262081,0.277784592,0.364378363,0.446206715,0.23301644,0.283929277,0.013946704,0.679446532,0.505552746,-0.125138503,0.241207649,0.288078498
Putamenl,0.279468549,0.265619339,0.105086024,0.300699912,0.145874266,0.068107058,0.096554874,0.377855867,0.102160813,0.335178187,-0.016506167,-0.068026241,0.340370593,-0.038376573,0.131377637,0.378989757,0.554982932,0.253592777,0.441058558,1.014808014,1.203458365,NA,0.476724031,0.403052914,0.461983967,0.280881344,0.307788669,0.469218091,0.326979238,0.589185393,0.083988019,0.921837478,0.548732194,0.002151685,0.43115184,0.468568432
Pallidumr,-0.103555128,-0.041015926,-0.052499105,-0.078908047,0.022950484,0.057892565,0.031743115,0.04130081,-0.031499769,0.271756929,0.290366558,-0.117403856,0.15213963,0.031194342,0.295561819,0.217835823,-0.03082025,-0.079932977,0.409207595,0.474102871,0.508432117,0.476724031,NA,0.096438041,-0.015795812,-0.038867977,0.194125684,0.099133496,0.085757334,0.066475275,-0.019078698,0.362177513,0.27753288,-0.048215049,0.174776566,0.073092477
Palliduml,0.2712851,0.117626305,0.210530452,0.099409061,0.083865471,0.002770592,0.035870486,0.114534565,-0.236198553,-0.071995253,-0.09404164,-0.224045289,0.159725786,0.154436971,0.127915711,0.105446681,0.315795165,0.191553569,0.072756401,0.236054639,0.382434555,0.403052914,0.096438041,NA,-0.054230596,-0.020459582,0.048643418,-0.018187837,-0.039796025,0.148043401,0.02184799,0.352294447,0.231593216,0.015594086,0.138270086,0.185427799
Hippocampusr,0.402912058,0.444867443,0.361345918,0.491754606,0.170294116,0.135671367,0.319302827,0.256495051,0.358645965,0.003727428,-0.201563428,0.083323931,0.180053361,0.22997572,0.017722442,0.321872244,0.36181836,0.378674251,0.235661063,0.487848116,0.283262081,0.461983967,-0.015795812,-0.054230596,NA,0.649407843,0.317063036,0.267705088,0.476086811,0.394035511,0.308557955,0.219751927,0.192458976,0.245286323,0.240009584,0.370949366
Hippocampusl,0.436142303,0.513953703,0.299417086,0.459942986,0.29595055,0.342715928,0.272343064,0.153384329,0.139951205,0.061032679,-0.087314449,0.017760527,0.042911325,-0.075879692,0.009515805,0.11427575,0.387799342,0.396429085,0.074161288,0.240107486,0.277784592,0.280881344,-0.038867977,-0.020459582,0.649407843,NA,0.261456036,0.512507694,0.061307922,0.227286735,0.34559594,0.227929025,0.289040126,0.145970723,0.17137573,0.389917077
Amygdalar,0.604341381,0.566261229,0.55456291,0.402894943,0.107923074,0.19758009,0.502136454,0.234262868,0.378150169,0.174226568,0.096242325,0.035881095,-0.009534255,0.12704075,0.053706408,0.075286894,0.63671601,0.357482989,0.178004165,0.386709149,0.364378363,0.307788669,0.194125684,0.048643418,0.317063036,0.261456036,NA,0.436764,0.161865545,0.075442273,0.17380912,0.369813654,0.568173954,0.254197263,0.468081478,0.486391813
Amygdalal,0.235873462,0.14823434,0.278727151,0.203935808,0.37857005,0.236730067,0.142177258,0.147021404,0.267168051,0.267131489,-0.068418459,0.032499512,0.076139131,-0.13738527,0.331695298,0.239267685,0.455663987,0.600290438,0.178852202,0.38367377,0.446206715,0.469218091,0.099133496,-0.018187837,0.267705088,0.512507694,0.436764,NA,0.121581245,0.080272986,0.276666842,0.372362214,0.460878649,0.099635295,0.34621126,0.406786546
Accumbensr,0.338877949,0.49170869,0.176877608,0.453079613,0.439462111,0.302980513,0.108260348,0.207728096,0.339054058,0.063917058,-0.055802882,0.046623397,0.148464604,0.033918262,0.042279363,0.176923057,0.348142396,0.266519394,0.261464962,0.479965639,0.23301644,0.326979238,0.085757334,-0.039796025,0.476086811,0.061307922,0.161865545,0.121581245,NA,0.459744914,0.34218795,0.397834292,0.346858397,0.217566698,0.398842991,0.370683721
Accumbensl,0.235040821,0.32777226,0.224401342,0.350570295,0.187287598,-0.009371788,0.070479492,0.163563531,0.120535278,0.131142181,-0.036823454,0.19367489,0.252079694,0.202052878,-0.030263188,0.221489289,0.476987494,0.236775896,0.441858818,0.678933142,0.283929277,0.589185393,0.066475275,0.148043401,0.394035511,0.227286735,0.075442273,0.080272986,0.459744914,NA,0.042089926,0.490007415,0.287535317,0.151897918,0.181949357,0.202426805
mPFC,0.300128576,0.219914018,0.299623075,0.283688799,0.394618162,0.478270796,0.524974645,0.388278672,0.287989476,0.268053486,0.014906736,0.100642526,0.303652346,0.23314158,0.383220776,0.373733166,0.328572047,0.311094677,0.10869384,0.252026651,0.013946704,0.083988019,-0.019078698,0.02184799,0.308557955,0.34559594,0.17380912,0.276666842,0.34218795,0.042089926,NA,0.275119259,0.794861557,0.715098716,0.444915703,0.237577956
AIns,0.477089564,0.361573386,0.55245038,0.556359315,0.343562565,0.162497046,0.490188745,0.354827779,0.232256518,0.748624625,0.099999832,0.100875094,0.557924384,0.227169107,0.171430969,0.425955375,0.83004108,0.468176008,0.48035015,0.653488633,0.679446532,0.921837478,0.362177513,0.352294447,0.219751927,0.227929025,0.369813654,0.372362214,0.397834292,0.490007415,0.275119259,NA,1.170866134,0.253255902,0.83265939,0.811539308
AC,0.544053951,0.32255652,0.483774901,0.427420217,0.426428179,0.572022903,0.482548777,0.250261806,0.527374568,0.765414946,0.216764748,0.101627895,0.427928826,0.232669249,0.390844328,0.42460473,0.808613406,0.568243882,0.425153277,0.527299326,0.505552746,0.548732194,0.27753288,0.231593216,0.192458976,0.289040126,0.568173954,0.460878649,0.346858397,0.287535317,0.794861557,1.170866134,NA,0.61696735,0.759291683,0.652476439
PC,0.294658722,0.395558238,0.205323725,0.400321998,0.424464213,0.32230093,0.543243459,0.58439578,0.645278516,0.374065289,0.545583505,0.571812951,0.362734919,0.488018922,0.194258426,0.172373073,0.488180955,0.408044482,0.121948504,0.094451535,-0.125138503,0.002151685,-0.048215049,0.015594086,0.245286323,0.145970723,0.254197263,0.099635295,0.217566698,0.151897918,0.715098716,0.253255902,0.61696735,NA,0.480001135,0.289757533
FOrbr,0.660225566,0.502414079,0.593439395,0.640771955,0.269146894,0.447458588,0.759719482,0.641541773,0.282942672,0.398276918,0.10850332,-0.045148183,0.607661719,0.499554745,0.404957648,0.370833177,0.570454852,0.481427647,0.398081548,0.521652317,0.241207649,0.43115184,0.174776566,0.138270086,0.240009584,0.17137573,0.468081478,0.34621126,0.398842991,0.181949357,0.444915703,0.83265939,0.759291683,0.480001135,NA,0.97241858
FOrbl,0.70061058,0.796753524,0.605926699,0.758520602,0.572191806,0.813587828,0.688639608,0.828060558,0.223137029,0.244283464,0.019696997,-0.104795214,0.384677337,0.343071255,0.125385785,0.172645107,0.658432791,0.565282535,0.343724628,0.66902691,0.288078498,0.468568432,0.073092477,0.185427799,0.370949366,0.389917077,0.486391813,0.406786546,0.370683721,0.202426805,0.237577956,0.811539308,0.652476439,0.289757533,0.97241858,NA
