,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
Amygdalar,0.233959654,0.217186697,0.270833902,0.173706865,0.059047137,-0.129760049,0.273656574,-0.040037167,-0.071631666,-0.111651143,-0.10463285,-0.147571645,-0.120562859,-0.029135934,-0.026891357,-0.044288861,0.159086229,0.186978731,-0.066571894,-0.068995322,0.155056797,0.264031662,-0.016729613,0.119169232,0.190653874,0.163149876,NaN,0.410844987,-0.054889327,0.055058565,0.05710564,0.085957616,0.192902653,-0.027050475,0.193156815,0.232426635
Amygdalal,0.281731522,0.263029978,0.28426537,0.236066485,0.208212943,0.161790268,0.261125064,0.158444826,-0.047969185,0.015381781,-0.002646045,-0.075681712,-0.027757644,-0.055347946,0.047551123,0.14244584,0.299533593,0.287029636,0.01785461,-0.030693734,0.111430996,0.263220567,0.170954784,0.061454578,0.083443995,0.309350255,0.410844987,NaN,-0.038534698,0.062274597,0.041677693,0.385111369,0.248910872,0.037998811,0.293922613,0.43924761
Accumbensr,0.319019841,0.265665532,0.230289833,0.383385976,0.351671926,0.129034942,0.165119965,0.13361196,0.180256042,0.003577488,-0.135956495,0.048209471,-0.089673955,0.112046112,0.212667498,0.082140144,0.389855756,0.303303779,0.254226795,0.331941844,0.220085129,0.138100834,0.157658408,0.348126223,0.207296984,0.144014559,-0.054889327,-0.038534698,NaN,0.151895405,-0.04669014,0.10618315,0.137236624,0.064536942,0.153551754,0.027099538
Accumbensl,0.129107325,0.08851174,0.232949555,0.242985096,0.128164735,-0.165703388,0.271135346,0.081791252,0.276024102,0.186748173,0.125554631,0.217126642,0.008225909,0.157831115,-0.028311692,-0.235470755,0.180037338,0.158839679,0.250673937,0.283806498,0.16574239,0.233874531,-0.148071831,0.186838712,0.109417564,0.017001978,0.055058565,0.062274597,0.151895405,NaN,0.213216998,0.144649415,0.225494831,0.152728098,0.198265138,0.111486101
mPFC,-0.047110721,0.02499731,0.070877571,0.164395593,0.020698537,0.046182069,0.296997748,0.28692479,0.001996145,0.068671785,0.097255956,0.125259749,0.234202314,0.266715649,0.19146523,0.253136594,0.103252246,0.012712716,0.155203352,0.093605333,0.002615585,0.097852596,-0.032425596,-0.087839577,0.246269524,0.017843306,0.05710564,0.041677693,-0.04669014,0.213216998,NaN,-0.079898168,0.178231866,0.495973972,0.398985183,0.346971973
AIns,0.237905161,0.167994345,0.224022876,0.112988157,0.118060322,0.063118008,0.236446963,0.163820047,0.254437099,0.267873651,0.179189842,0.183640413,0.047046804,0.131281509,-0.071506769,-0.086718581,0.472773042,0.444090466,0.286841201,0.267044615,0.229053462,0.300816139,0.100630322,0.333260833,-0.151291534,-0.085520754,0.085957616,0.385111369,0.10618315,0.144649415,-0.079898168,NaN,0.665703203,0.146580743,0.521109544,0.437861463
AC,0.13067178,0.175052492,0.177208134,0.057296634,0.075671826,-0.130562613,0.17486323,0.053425299,0.370175521,0.327817951,0.215549094,0.13103918,-0.003683565,0.072461204,-0.043035949,-0.032116767,0.419413514,0.379586619,0.222331716,0.237691727,0.307495202,0.453137154,0.000579399,0.281948756,0.053838168,0.024229354,0.192902653,0.248910872,0.137236624,0.225494831,0.178231866,0.665703203,NaN,0.161452062,0.515697267,0.326469251
PC,0.095184828,0.004871423,0.08034159,0.057533152,0.187005003,0.15776839,0.503968318,0.449163616,0.197619183,0.189180872,0.055291171,0.289417523,0.239128517,0.506601112,0.082862185,0.197972317,0.174076857,0.101896621,0.199113694,0.082481498,-0.164555139,-0.06989875,0.00166405,-0.047416675,-0.052594055,-0.188346032,-0.027050475,0.037998811,0.064536942,0.152728098,0.495973972,0.146580743,0.161452062,NaN,0.369134666,0.274984133
FOrbr,0.094052775,0.167385164,0.165952117,0.218601458,0.166281501,0.022443869,0.433155918,0.362578396,0.155608236,0.162578448,0.105603058,0.126281007,0.251995214,0.38167178,0.314746465,0.286127856,0.394247011,0.302640083,0.402071024,0.322973567,0.140005767,0.25683817,0.037821473,0.203882651,0.109558279,0.01177237,0.193156815,0.293922613,0.153551754,0.198265138,0.398985183,0.521109544,0.515697267,0.369134666,NaN,0.649006969
FOrbl,0.103015916,0.118458921,0.228054906,0.196109172,0.13465385,0.15005379,0.360798405,0.453674353,0.010342553,0.125381342,0.134864903,0.129619582,0.223798359,0.235859884,0.291822023,0.351470994,0.227655906,0.180838125,0.218827401,0.159989691,0.143960292,0.262464115,0.00578984,0.034072521,0.133853557,0.102172993,0.232426635,0.43924761,0.027099538,0.111486101,0.346971973,0.437861463,0.326469251,0.274984133,0.649006969,NaN
