,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
Palliduml,-0.091188497,0.035589854,-0.017652562,0.023389294,-0.016806815,0.01846277,0.006648806,-0.12633596,-0.032637497,-0.014924458,-0.101111264,-0.196152796,0.021071172,-0.155059366,-0.096104872,0.078336913,-0.018603787,0.067489681,0.004393201,0.10854601,0.256933784,0.131761037,0.189949478,NaN,0.123554656,0.141377663,0.140251494,0.117613981,-0.084966327,0.087971978,-0.00758346,0.211927718,0.308019222,-0.006200345,0.017698454,0.061138688
Hippocampusr,0.086789855,0.174095475,0.232467181,0.262038268,0.152605108,0.207260789,0.218237302,0.151961171,0.099065754,-0.003077125,-0.005784436,-0.159530192,0.081883501,-0.024933311,0.101780469,0.12319672,0.120937203,0.229522647,0.072286137,0.082774553,0.048849232,0.085951386,-0.031507344,0.123554656,NaN,0.463418922,0.25950305,0.287608238,0.050274061,0.222077409,0.21044516,0.112424462,0.075829004,0.220428123,0.051816817,0.248998467
Hippocampusl,0.240175765,0.267159515,0.339745332,0.294778485,0.270109869,0.27642235,0.269925813,0.233367661,0.04950896,0.045912702,-0.040763042,-0.158638933,-0.044141332,0.070177893,0.148792472,0.213289604,0.028459873,0.103796171,0.188662953,0.256555604,0.072555067,0.10468145,0.062871766,0.141377663,0.463418922,NaN,0.252625988,0.343032914,0.051430687,0.196711561,0.262138056,0.019195046,0.031838741,0.258152738,0.156351374,0.297116985
Amygdalar,0.187063981,0.246374495,0.184685747,0.195079084,0.016291037,0.125992024,0.235685016,0.04671737,0.034271796,-0.014563034,0.08165199,-0.121049681,0.014999184,-0.035543744,0.058991533,-0.084600848,0.196046922,0.248245745,0.037496062,0.108944485,0.17855465,0.18330379,-0.004221629,0.140251494,0.25950305,0.252625988,NaN,0.389953518,0.092318816,0.209362644,0.147621884,0.262312466,0.139353343,-0.070573532,0.162058341,0.24937445
Amygdalal,0.06839921,0.221096136,0.126682987,0.129354296,0.077930611,0.207318173,0.142383031,0.202032604,0.080843558,0.084816565,-0.116500025,-0.060698207,-0.01787633,0.009711468,0.289358691,0.142573403,0.140788411,0.255327556,0.195357669,0.161967631,0.253796715,0.206981385,0.014723347,0.117613981,0.287608238,0.343032914,0.389953518,NaN,0.190747048,0.215083076,0.376590937,0.250660622,0.219148382,0.214576494,0.198932335,0.312852149
Accumbensr,0.171254758,0.199667733,0.145881285,0.212929807,0.216872771,0.113340951,0.216671644,0.163655503,-0.000130941,-0.045519196,0.063953435,-0.049570802,0.051252711,0.127934706,0.13337896,-0.038756094,0.041892337,0.121972293,0.320692686,0.288222107,0.11223214,0.067850367,-0.087866237,-0.084966327,0.050274061,0.051430687,0.092318816,0.190747048,NaN,0.301157988,0.228111251,0.034792495,0.12107917,0.192554216,0.25841117,0.250486873
Accumbensl,0.061679039,0.065283159,0.103718582,0.191670438,-0.038848867,0.032455342,0.02674078,0.016214002,0.052068075,-0.093162594,-0.04135487,-0.2014836,0.000756611,-0.015814497,0.127962324,-0.06573631,0.215329566,0.262433077,0.318525677,0.254234104,0.286927057,0.209428575,-0.069235258,0.087971978,0.222077409,0.196711561,0.209362644,0.215083076,0.301157988,NaN,0.128891178,0.198814425,0.216295394,0.150699031,0.113622763,0.069213062
mPFC,0.230835032,0.293254942,0.223673899,0.311192823,0.278871979,0.378964155,0.328608402,0.441007369,0.10206547,0.083400649,-0.165782605,-0.009776152,0.155406734,0.267272898,0.536477824,0.191586409,0.236289629,0.235355906,0.346986012,0.383048965,0.246258196,0.265876141,-0.060177713,-0.00758346,0.21044516,0.262138056,0.147621884,0.376590937,0.228111251,0.128891178,NaN,0.19481837,0.397804129,0.462168012,0.317837141,0.401842868
AIns,0.169926459,0.194484399,0.116017477,0.173508656,0.048183817,0.131367776,0.20618389,0.167591953,0.33099577,0.302396939,-0.049544676,-0.083101666,0.134008893,-0.03565166,0.097576679,0.086408604,0.368526173,0.364415467,0.239444097,0.318281198,0.392439593,0.427148659,0.033389656,0.211927718,0.112424462,0.019195046,0.262312466,0.250660622,0.034792495,0.198814425,0.19481837,NaN,0.596148088,0.035937865,0.455433292,0.507083215
AC,0.055050591,0.128522833,0.032675445,0.132819937,0.081171198,0.161267181,0.154253923,0.059236056,0.297631002,0.128827982,-0.08002572,-0.083918582,0.108408188,-0.033475185,0.1674183,0.116271006,0.280567256,0.243802609,0.316222486,0.386700896,0.46003167,0.319836238,-0.013404958,0.308019222,0.075829004,0.031838741,0.139353343,0.219148382,0.12107917,0.216295394,0.397804129,0.596148088,NaN,0.187626899,0.31399939,0.296381388
PC,0.216291885,0.217274596,0.20108259,0.216411291,0.280313346,0.287135149,0.285495855,0.262693233,0.114823121,-0.028042572,-0.122805597,0.104570024,0.161385339,0.193180574,0.172056127,0.090625265,0.238832948,0.265277955,0.258380882,0.253079928,0.034864438,-0.00545409,-0.124599042,-0.006200345,0.220428123,0.258152738,-0.070573532,0.214576494,0.192554216,0.150699031,0.462168012,0.035937865,0.187626899,NaN,0.258734213,0.263023024
FOrbr,0.363287084,0.352408661,0.325469762,0.323631398,0.278759947,0.292226742,0.419279862,0.328772441,0.286193908,0.167336311,-0.080575256,-0.074856641,0.087584753,0.019000929,0.190209846,0.077292017,0.335395427,0.285033496,0.329263174,0.372215546,0.234425524,0.332463287,0.017792207,0.017698454,0.051816817,0.156351374,0.162058341,0.198932335,0.25841117,0.113622763,0.317837141,0.455433292,0.31399939,0.258734213,NaN,0.613269152
FOrbl,0.403667411,0.438418485,0.376298201,0.408297071,0.298619298,0.467465947,0.464618491,0.479077569,0.207388794,0.169830014,-0.102767984,-0.140116347,0.093565515,0.179653654,0.284927519,0.230006197,0.419911175,0.362400425,0.296046508,0.426440014,0.24098792,0.367140957,-0.05733574,0.061138688,0.248998467,0.297116985,0.24937445,0.312852149,0.250486873,0.069213062,0.401842868,0.507083215,0.296381388,0.263023024,0.613269152,NaN
