,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
Putamenr,0.383714403,0.193320094,0.102778162,0.319472735,-0.121527735,-0.083269565,-0.009844952,-0.088194707,0.370083646,0.294270432,0.157459594,0.038267689,0.073972767,-0.010211464,-0.175019883,-0.007603215,0.607432647,0.475106947,0.407741471,0.335589475,NA,0.974575576,0.129700284,0.267672019,0.165400371,0.032778887,0.331200538,0.287455567,0.34501712,0.193112737,0.217134167,0.407090609,0.735710589,0.18041765,0.120182597,0.041502495
Putamenl,0.45511059,0.356360077,0.195654963,0.357082937,0.030716034,0.0336151,0.22827748,0.147821574,0.291108542,0.343291206,0.040444622,-0.034555185,0.032526255,0.023319686,-0.174562651,0.064047344,0.629387442,0.706330464,0.435894677,0.425003962,0.974575576,NA,0.006466874,0.357674538,0.158093249,0.202648537,0.402831339,0.101832728,0.425634566,0.249289006,0.368390575,0.504997559,0.80338516,0.30310547,0.200957782,0.145263571
Pallidumr,0.088027624,-0.117022845,-0.039800026,-0.109958101,0.163721658,-0.112583105,-0.207866081,-0.150006159,-0.036028634,0.102038217,0.049996509,0.155156357,0.221140507,0.074004716,0.063511121,0.065950132,0.122315113,-0.118790687,0.103181387,0.034925526,0.129700284,0.006466874,NA,0.224670498,-0.243562902,-0.234255661,-0.091574413,-0.290103555,-0.073641432,0.05079637,-0.064720649,0.141198887,0.019716968,-0.101871888,-0.06112026,-0.211898106
Palliduml,0.222416083,0.212118404,0.118409963,0.214964873,0.303209657,0.062996275,0.207832758,0.002648981,0.252560839,0.357523375,0.283613516,0.314573009,0.097481231,0.131496456,-0.035921726,0.004970499,0.384358964,0.275898046,-0.068927606,-0.027838998,0.267672019,0.357674538,0.224670498,NA,-0.053457759,-0.103454047,0.166819383,-0.054218998,0.191025495,0.245968665,0.169739895,0.32082593,0.294332689,0.279570064,0.249244948,-0.049267393
Hippocampusr,0.314921125,0.36872779,0.369742425,0.342231062,-0.032022636,0.269756172,0.263695038,0.363916686,0.042288542,-0.088646649,-0.169649587,-0.089005487,-0.07088498,0.163596916,0.166150711,-0.089291476,0.338411415,0.301874476,0.201811053,0.171487929,0.165400371,0.158093249,-0.243562902,-0.053457759,NA,0.591448499,0.409026149,0.454764594,0.212660575,0.183986299,0.24174912,0.022373512,0.286094822,0.271336069,0.150337421,0.239280343
Hippocampusl,0.503179237,0.584288416,0.395986183,0.480753106,0.272301723,0.209553307,0.47722689,0.485867663,-0.160774932,-0.108862477,-0.434784036,-0.218955072,-0.205573167,-0.177911995,0.324172886,0.152979673,0.256881932,0.509584751,0.188498235,0.110602457,0.032778887,0.202648537,-0.234255661,-0.103454047,0.591448499,NA,0.299358963,0.490067968,0.270174382,0.207370731,0.215906595,0.315556639,0.474392333,0.382385464,0.382053759,0.342436162
Amygdalar,0.318830036,0.20615751,0.194568865,0.313820923,-0.228721112,0.312389567,0.145831186,0.166735578,0.264033761,-0.056206368,-0.140854785,-0.190244575,-0.153116408,0.10883096,0.234607119,0.009544675,0.595122909,0.293010651,0.141554044,0.10695875,0.331200538,0.402831339,-0.091574413,0.166819383,0.409026149,0.299358963,NA,0.556519164,0.339470507,0.127156926,0.38660163,0.318852194,0.604782145,0.361239439,0.448443254,0.375782735
Amygdalal,0.386805854,0.303995556,0.251250013,0.411475987,-0.03085023,0.306895813,0.293363546,0.112508354,0.162974367,-0.157840318,-0.088784584,-0.059301401,-0.093876871,0.088537942,0.296910119,-0.101796166,0.33737536,0.157201856,-0.157628673,-0.100767748,0.287455567,0.101832728,-0.290103555,-0.054218998,0.454764594,0.490067968,0.556519164,NA,0.14775402,0.04361664,0.229917712,0.16256735,0.354922685,0.375184607,0.315149992,0.295137181
Accumbensr,0.251139771,0.288450346,0.225192149,0.334254354,0.033799212,0.220278381,0.215903724,0.12355083,0.444280812,0.162475577,-0.001441307,0.007209695,-0.027954721,0.070736397,-0.081699145,0.014518305,0.360683306,0.537496901,0.407777557,0.314788674,0.34501712,0.425634566,-0.073641432,0.191025495,0.212660575,0.270174382,0.339470507,0.14775402,NA,0.469223859,0.171047185,0.610546909,0.437546519,0.359138438,0.478484488,0.213489116
Accumbensl,0.228523923,0.170705008,0.281584347,0.273083515,0.259301751,0.319374464,0.193746516,0.029034742,0.228972738,0.206494101,0.087432745,0.183744348,0.130761701,0.305000262,-0.068518579,-0.130927121,0.277862927,0.320703361,0.330654673,0.313589551,0.193112737,0.249289006,0.05079637,0.245968665,0.183986299,0.207370731,0.127156926,0.04361664,0.469223859,NA,0.202125239,0.336665094,0.379051019,0.420647824,0.306473684,0.26803572
mPFC,0.20527421,0.164936677,0.187798079,0.208362503,-0.121499619,0.157704464,0.397363553,0.414290225,0.254457857,0.171004186,-0.078756691,0.121520147,0.25850882,0.317561397,0.331917083,0.068199127,0.283668946,0.271214581,0.243384243,0.531500002,0.217134167,0.368390575,-0.064720649,0.169739895,0.24174912,0.215906595,0.38660163,0.229917712,0.171047185,0.202125239,NA,0.054144379,0.431835271,0.678408872,0.414647657,0.402950397
AIns,0.261258616,0.230080739,0.224496682,0.314317411,0.197027275,0.12024314,0.14074202,0.078573082,0.368557171,0.312154262,0.091284291,0.057130516,-0.021228951,-0.058528335,0.173415436,0.222419942,0.57610551,0.552029956,0.469515615,0.458865528,0.407090609,0.504997559,0.141198887,0.32082593,0.022373512,0.315556639,0.318852194,0.16256735,0.610546909,0.336665094,0.054144379,NA,0.717436347,0.341979612,0.531582027,0.282762654
AC,0.405680468,0.360088174,0.120698862,0.385186043,0.070969226,0.025141142,0.206418031,0.137179125,0.34254151,0.417497234,-0.034836635,0.064555813,0.086488836,0.111107216,0.197944352,0.098479495,0.704456669,0.485724305,0.361736825,0.31332803,0.735710589,0.80338516,0.019716968,0.294332689,0.286094822,0.474392333,0.604782145,0.354922685,0.437546519,0.379051019,0.431835271,0.717436347,NA,0.635807921,0.292189025,0.278702509
PC,0.621303839,0.480642838,0.337164887,0.471370039,0.312154433,0.440273631,0.85427562,0.686258685,0.446479766,0.445556948,0.235742811,0.37213445,0.16191275,0.573329956,0.442793524,0.278840478,0.601686715,0.502086625,0.011540995,0.191353651,0.18041765,0.30310547,-0.101871888,0.279570064,0.271336069,0.382385464,0.361239439,0.375184607,0.359138438,0.420647824,0.678408872,0.341979612,0.635807921,NA,0.643292512,0.556615506
FOrbr,0.335939776,0.343521144,0.406090484,0.4130837,0.144742668,0.265754086,0.642967438,0.426732053,0.390827757,0.059763916,-0.154525967,-0.136955783,0.041575765,0.032214162,0.476168037,0.168346478,0.271136406,0.351229772,0.229943919,0.313677095,0.120182597,0.200957782,-0.06112026,0.249244948,0.150337421,0.382053759,0.448443254,0.315149992,0.478484488,0.306473684,0.414647657,0.531582027,0.292189025,0.643292512,NA,0.783272422
FOrbl,0.241497756,0.497136767,0.451003359,0.448483965,0.21898442,0.570043126,0.505826398,0.620130651,0.264176311,0.016121227,-0.240143031,-0.060434439,-0.153404677,0.190006024,0.566233723,0.315868205,0.091028586,0.2521947,0.069732495,0.241625142,0.041502495,0.145263571,-0.211898106,-0.049267393,0.239280343,0.342436162,0.375782735,0.295137181,0.213489116,0.26803572,0.402950397,0.282762654,0.278702509,0.556615506,0.783272422,NA
