,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,toITGr,toITGl,pITGr,pITGl,aITGl,aITGr,HGr,HGl,Caudater,Caudatel,Putamenr,Putamenl,Pallidumr,Palliduml,Hippocampusr,Hippocampusl,Amygdalar,Amygdalal,Accumbensr,Accumbensl,mPFC,AIns,AC,PC,FOrbr,FOrbl
Caudater,0.054070943,0.082338297,0.08004473,0.075931343,0.027222903,0.074216838,0.041519282,0.068724049,0.106926199,0.036281032,-0.081101034,-0.190561374,-0.097222254,-0.095566072,0.019465211,0.121350835,0.138736838,0.192197438,NaN,0.70684487,0.276492914,0.292332338,0.101111832,0.009071601,0.117703863,0.118567973,0.108986586,-0.087189454,0.279610276,0.317725846,0.268215881,0.40404375,0.342915507,-0.003857637,0.254690507,0.097030226
Caudatel,-0.014667169,0.072481937,0.08646242,0.018808036,-0.025431387,0.104484038,0.074988952,0.102052176,0.09175578,0.072198116,-0.124648658,-0.182158491,-0.031289236,0.002635295,0.053539373,0.048208997,0.072593072,0.20642482,0.70684487,NaN,0.233327346,0.253510899,0.035562985,0.080653312,0.102953277,0.085735666,0.16492974,-0.041908542,0.238003675,0.325786048,0.377511011,0.357958857,0.328979333,0.10244094,0.345767771,0.251910246
Putamenr,0.1552412,0.118223937,0.05453728,0.155657092,-0.086536177,-0.017703604,0.068749438,-0.059545746,0.268634519,0.156428953,0.121426009,0.069943453,0.138347478,0.032213936,-0.164507111,0.013748651,0.307308724,0.277792629,0.276492914,0.233327346,NaN,0.595810557,0.054714131,0.246353237,0.110046004,0.019464081,0.246754497,0.248257501,0.358524036,0.239602707,0.128565936,0.325551353,0.47191475,0.132780633,0.124880311,0.063829893
Putamenl,0.214763595,0.254586603,0.122645084,0.165062415,0.008575331,0.122164561,0.26217857,0.208631053,0.308149583,0.193838427,0.062171609,0.050848831,0.062235187,0.13927479,-0.138294244,0.134251501,0.329321694,0.370879346,0.292332338,0.253510899,0.595810557,NaN,0.094689755,0.250913416,0.096668696,0.076813898,0.270280212,0.079728872,0.369540321,0.224723713,0.21428691,0.300039149,0.414686926,0.306986422,0.191194457,0.146421875
Pallidumr,0.009487125,-0.03712452,-0.048034913,-0.091744356,0.169951951,0.074137693,-0.110979649,-0.018151543,0.049146122,0.120735096,0.00392654,0.120711594,0.169211639,0.068845941,0.073615983,0.028705893,0.044669814,-0.114297945,0.101111832,0.035562985,0.054714131,0.094689755,NaN,0.085036568,-0.065920092,-0.191327104,-0.001721334,-0.141912549,-0.030505724,-0.019943466,0.019780324,0.097070335,0.031929716,0.016607439,0.009644629,-0.104666824
Palliduml,0.119246751,0.152796976,0.042567456,0.173107088,0.133189968,0.05260957,0.083421218,-0.014122141,0.19536724,0.278866733,0.241246746,0.231065118,0.097010655,0.081413513,-0.045036782,0.105466589,0.185069605,0.201087838,0.009071601,0.080653312,0.246353237,0.250913416,0.085036568,NaN,-0.059435083,-0.092703088,0.115143814,-0.078851302,0.210832107,0.240255,-0.011350367,0.316249001,0.185121755,0.158175107,0.236283521,0.00703425
Hippocampusr,0.281100932,0.351568731,0.306578304,0.31172314,0.032828368,0.149756719,0.255244023,0.219478566,0.02497219,-0.015617121,-0.127473293,-0.000942702,-0.053109596,0.068325825,0.019387505,-0.121396119,0.248546675,0.271442237,0.117703863,0.102953277,0.110046004,0.096668696,-0.065920092,-0.059435083,NaN,0.420491479,0.372910298,0.409533689,0.167268021,0.109132114,0.240842778,0.022131044,0.22505612,0.290825101,0.070538426,0.188068801
Hippocampusl,0.439476956,0.387507668,0.325177341,0.358054967,0.147896376,0.050589283,0.378860806,0.235519764,-0.225425372,-0.134151966,-0.391687945,-0.184944706,-0.215042691,-0.11209906,0.157462219,0.066581079,0.293508291,0.377007091,0.118567973,0.085735666,0.019464081,0.076813898,-0.191327104,-0.092703088,0.420491479,NaN,0.220783742,0.381658292,0.075150193,0.219928729,0.160683605,0.166900022,0.31898672,0.313427352,0.239948289,0.262282945
Amygdalar,0.258380763,0.249822612,0.232635853,0.300862686,-0.093914501,0.214571103,0.236628273,0.146358248,0.21829567,0.038265302,-0.077000429,-0.02503098,-0.125082072,0.061126149,0.093191997,-0.010854447,0.411748076,0.279828933,0.108986586,0.16492974,0.246754497,0.270280212,-0.001721334,0.115143814,0.372910298,0.220783742,NaN,0.498447904,0.257635821,0.152154948,0.237492303,0.327879241,0.45819864,0.305007383,0.390770953,0.378302587
Amygdalal,0.270684652,0.234128292,0.268083158,0.325225551,-0.022706004,0.111694694,0.305030787,0.126327122,0.069758574,-0.123095584,-0.075851679,0.023775172,-0.079837534,0.053305859,0.04435786,-0.111456122,0.211675506,0.13830014,-0.087189454,-0.041908542,0.248257501,0.079728872,-0.141912549,-0.078851302,0.409533689,0.381658292,0.498447904,NaN,0.18137485,0.078206299,0.179531538,0.111430389,0.223286947,0.270592929,0.205017372,0.252879561
Accumbensr,0.10939145,0.23294461,0.158103357,0.223570816,0.017740486,0.255161685,0.230601995,0.157767593,0.337376767,0.101460873,0.123705925,0.109754809,0.109612717,0.116603904,-0.154741856,0.021248388,0.126162083,0.309017071,0.279610276,0.238003675,0.358524036,0.369540321,-0.030505724,0.210832107,0.167268021,0.075150193,0.257635821,0.18137485,NaN,0.369157623,0.10380531,0.453083747,0.319032979,0.2666876,0.305520741,0.210970992
Accumbensl,0.172044069,0.212452626,0.19534678,0.250679335,0.1597148,0.212532491,0.252283773,0.078990626,0.152660044,0.123774413,0.062316784,0.124415601,0.08690368,0.226058161,-0.102486032,-0.016894246,0.214936067,0.298290159,0.317725846,0.325786048,0.239602707,0.224723713,-0.019943466,0.240255,0.109132114,0.219928729,0.152154948,0.078206299,0.369157623,NaN,0.10538191,0.30287764,0.318591997,0.188679905,0.361763,0.309434113
mPFC,0.12374649,0.150341108,0.042128878,0.077439031,0.157203986,0.177509424,0.243765663,0.310057358,0.154760644,0.135079843,-0.08330112,0.058342781,0.167345014,0.257767739,0.27821787,-0.008654126,0.171810614,0.125513661,0.268215881,0.377511011,0.128565936,0.21428691,0.019780324,-0.011350367,0.240842778,0.160683605,0.237492303,0.179531538,0.10380531,0.10538191,NaN,0.040863424,0.403855788,0.407693479,0.192433315,0.283992526
AIns,0.141960451,0.24858695,0.174929857,0.242603067,0.138845374,0.133853022,0.133981831,0.067538808,0.274614609,0.247222863,0.110869835,0.016623893,0.019705916,-0.05501503,0.081720914,0.130976233,0.394570238,0.428953186,0.40404375,0.357958857,0.325551353,0.300039149,0.097070335,0.316249001,0.022131044,0.166900022,0.327879241,0.111430389,0.453083747,0.30287764,0.040863424,NaN,0.510864167,0.196445369,0.462918459,0.272510458
AC,0.221150722,0.262639483,0.059380762,0.213378954,0.200045882,0.11876645,0.140607934,0.108865538,0.156497678,0.286392435,-0.032119036,-0.020957491,0.058354036,0.072747053,0.175392788,0.046128477,0.423718836,0.31759261,0.342915507,0.328979333,0.47191475,0.414686926,0.031929716,0.185121755,0.22505612,0.31898672,0.45819864,0.223286947,0.319032979,0.318591997,0.403855788,0.510864167,NaN,0.324638329,0.305106834,0.322986252
PC,0.379647167,0.338772675,0.255185155,0.252254194,0.190642675,0.305242256,0.551429701,0.47248131,0.342502562,0.296674144,0.148995255,0.333234444,0.221894816,0.431443811,0.200535441,0.164450565,0.306329513,0.262565657,-0.003857637,0.10244094,0.132780633,0.306986422,0.016607439,0.158175107,0.290825101,0.313427352,0.305007383,0.270592929,0.2666876,0.188679905,0.407693479,0.196445369,0.324638329,NaN,0.343565248,0.397064413
FOrbr,0.190228779,0.296520936,0.306392037,0.315035594,0.134230206,0.19490807,0.479651802,0.314413327,0.254283613,0.078129109,-0.048361142,-0.046559536,-0.004755939,0.055593562,0.250495863,0.136168342,0.237946318,0.284300938,0.254690507,0.345767771,0.124880311,0.191194457,0.009644629,0.236283521,0.070538426,0.239948289,0.390770953,0.205017372,0.305520741,0.361763,0.192433315,0.462918459,0.305106834,0.343565248,NaN,0.584561587
FOrbl,0.206800617,0.368900388,0.311389926,0.336999334,0.178443346,0.374587851,0.451908237,0.40883132,0.152829291,0.008561305,-0.171129877,-0.041299021,-0.095092289,0.159485381,0.293851867,0.169631743,0.106865641,0.243697093,0.097030226,0.251910246,0.063829893,0.146421875,-0.104666824,0.00703425,0.188068801,0.262282945,0.378302587,0.252879561,0.210970992,0.309434113,0.283992526,0.272510458,0.322986252,0.397064413,0.584561587,NaN
