,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
FOrbr,0.24456,0.39249,0.34415,0.31306,0.29624,0.25334,0.59554,0.4962,0.3314,0.32401,0.2633,0.23552,0.192,0.25752,0.12424,0.083977,0.38657,0.52031,0.56477,0.52974,0.467,0.49344,NaN,0.81705,0.3778,0.39791,0.23216,0.33305,0.15707,0.21058,0.18435,0.18973,0.28315,0.18278,0.39194,0.2661,0.43122
FOrbl,0.2953,0.46972,0.33858,0.40282,0.34929,0.3718,0.48877,0.61205,0.07216,0.17008,0.30006,0.34213,0.046245,0.22603,0.05165,0.070856,0.30944,0.43855,0.32232,0.48449,0.52658,0.46161,0.81705,NaN,0.30592,0.39899,0.27959,0.39191,-0.048255,0.1023,0.34776,0.34793,0.4576,0.32475,0.35601,0.33793,0.43166
caudater,0.015046,0.14741,0.17435,0.10637,0.1456,0.11021,0.26913,0.22755,0.08784,0.18992,0.14859,0.23038,-0.015496,0.17942,-0.013199,0.035645,0.16771,0.2469,0.43536,0.39967,0.41294,0.29771,0.3778,0.30592,NaN,1.1258,0.57831,0.57557,0.058344,0.24278,0.28336,0.16444,0.24591,0.18225,0.48214,0.42122,0.1944
caudatel,0.083099,0.17359,0.24299,0.17709,0.085259,0.15533,0.26065,0.26939,0.082518,0.1952,0.10336,0.25173,-0.039093,0.15736,-0.048713,0.029811,0.1799,0.31193,0.36469,0.42711,0.43072,0.32071,0.39791,0.39899,1.1258,NaN,0.55015,0.63692,0.056167,0.25457,0.30178,0.16883,0.28445,0.1756,0.43681,0.43868,0.24598
putamenr,0.042063,0.08894,0.10886,0.050634,0.14931,0.074278,0.15433,0.23357,0.21326,0.35159,0.19893,0.25139,0.19488,0.11064,0.158,0.093281,0.32387,0.26476,0.56423,0.55327,0.56173,0.30121,0.23216,0.27959,0.57831,0.55015,NaN,1.1227,0.27144,0.33352,0.23428,0.14253,0.42074,0.38337,0.37775,0.43061,0.18326
putamenl,0.06449,0.15154,0.10659,0.077649,0.16902,0.12369,0.2142,0.239,0.3154,0.44284,0.1619,0.17653,0.12366,0.1574,0.21887,0.20329,0.27975,0.37972,0.49032,0.57776,0.59865,0.38762,0.33305,0.39191,0.57557,0.63692,1.1227,NaN,0.18148,0.41307,0.29198,0.11913,0.51757,0.37736,0.32749,0.39829,0.21601
pallidumr,0.072748,0.084702,0.0062292,-0.0071063,0.064339,0.031384,0.062199,-0.0033757,0.17935,0.17079,0.15345,0.069842,0.079953,0.080031,0.088651,0.11556,0.091486,0.038009,0.25062,0.13491,0.077152,-0.083586,0.15707,-0.048255,0.058344,0.056167,0.27144,0.18148,NaN,0.3003,-0.15322,-0.14841,0.036452,0.032788,-0.03171,-0.066799,-0.087959
palliduml,0.070376,0.1948,0.05324,0.10583,0.13355,0.116,0.0063212,0.039947,0.19886,0.21209,0.084328,0.047041,0.078525,0.12974,0.23132,0.14052,0.11457,0.13678,0.28694,0.34685,0.21126,0.039111,0.21058,0.1023,0.24278,0.25457,0.33352,0.41307,0.3003,NaN,0.066612,-0.078432,0.18492,0.071311,0.19861,-0.025089,-0.025156
hippocampusr,0.22236,0.2785,0.30531,0.29874,0.37618,0.25684,0.27577,0.19513,0.13096,0.053082,0.18181,0.16024,-0.077934,0.0028442,0.0072613,-0.005412,0.22529,0.31741,0.14773,0.19631,0.37028,0.19228,0.18435,0.34776,0.28336,0.30178,0.23428,0.29198,-0.15322,0.066612,NaN,0.52972,0.54003,0.33735,0.22088,0.28375,0.241
hippocampusl,0.25991,0.25867,0.25408,0.24893,0.3641,0.32822,0.34408,0.25103,-0.015521,-0.060634,0.13413,0.18129,-0.11208,-0.056029,-0.21844,-0.071314,0.20814,0.26444,-0.017808,0.17076,0.27819,0.2497,0.18973,0.34793,0.16444,0.16883,0.14253,0.11913,-0.14841,-0.078432,0.52972,NaN,0.43358,0.59033,0.16415,0.26364,0.38275
amygdalar,0.30759,0.41543,0.29268,0.34088,0.26533,0.23491,0.35611,0.19415,0.16649,0.086332,0.15503,0.11073,-0.086427,-0.061229,-0.025844,-0.017377,0.29438,0.41576,0.40581,0.4464,0.53349,0.31708,0.28315,0.4576,0.24591,0.28445,0.42074,0.51757,0.036452,0.18492,0.54003,0.43358,NaN,0.74376,0.18685,0.37479,0.23894
amygdalal,0.21631,0.34404,0.20617,0.24469,0.27398,0.29162,0.34352,0.21909,0.058828,0.043529,0.16026,0.1022,0.027194,-0.017524,-0.11364,0.029656,0.20335,0.28183,0.22929,0.32197,0.40705,0.3291,0.18278,0.32475,0.18225,0.1756,0.38337,0.37736,0.032788,0.071311,0.33735,0.59033,0.74376,NaN,0.22434,0.2759,0.31009
NAccr,0.089234,0.23958,0.16109,0.16395,0.1559,0.2177,0.16372,0.14422,0.18316,0.144,0.10057,0.070899,0.051193,0.09035,0.043358,0.063009,0.20006,0.33976,0.32426,0.34007,0.28754,0.24832,0.39194,0.35601,0.48214,0.43681,0.37775,0.32749,-0.03171,0.19861,0.22088,0.16415,0.18685,0.22434,NaN,0.39396,0.074916
NAccl,0.12602,0.21626,0.24893,0.21202,0.052382,0.074422,0.21034,0.17096,0.12657,0.11021,-0.045917,0.044898,0.0099229,0.073865,0.020739,0.12709,0.1909,0.31194,0.18978,0.17629,0.35819,0.34799,0.2661,0.33793,0.42122,0.43868,0.43061,0.39829,-0.066799,-0.025089,0.28375,0.26364,0.37479,0.2759,0.39396,NaN,0.31524
mPFC,0.2288,0.24127,0.26269,0.25581,0.36472,0.35238,0.53195,0.55938,0.10432,0.018672,0.28771,0.36339,0.21629,0.44997,-0.20365,0.032782,0.283,0.22012,0.019891,0.021941,0.559,0.69789,0.43122,0.43166,0.1944,0.24598,0.18326,0.21601,-0.087959,-0.025156,0.241,0.38275,0.23894,0.31009,0.074916,0.31524,NaN
