,aSTGr,aSTGl,pSTGr,pSTGl,aMTGr,aMTGl,pMTGr,pMTGl,toMTGr,toMTGl,aITGr,aITGl,pITGr,pITGl,toITGr,toITGl,HGr,HGl,ICr,ICl,AC,PC,FOrbr,FOrbl,caudater,caudatel,putamenr,putamenl,pallidumr,palliduml,hippocampusr,hippocampusl,amygdalar,amygdalal,NAccr,NAccl,mPFC
ICr,0.18573,0.098589,0.094689,0.20703,0.020888,0.11224,0.12822,0.20133,0.26908,0.27918,0.036761,0.10663,0.056666,-0.089355,-0.077351,-0.059719,0.4179,0.42644,NaN,1.1142,0.70967,0.17513,0.47295,0.30832,0.21316,0.19721,0.43228,0.47336,0.10696,0.18961,0.099648,-0.070169,0.38362,0.39231,0.12834,0.22166,0.19273
ICl,0.25978,0.2872,0.19269,0.2439,0.11391,0.21558,0.30369,0.24453,0.27069,0.21969,0.2318,0.32401,0.17177,0.059834,-0.054159,-0.10764,0.46747,0.51154,1.1142,NaN,0.75192,0.23828,0.57756,0.57307,0.22212,0.31332,0.51933,0.61775,0.12814,0.2475,0.13488,0.07284,0.31196,0.4101,0.11881,0.18858,0.23669
AC,0.021484,0.035804,0.042138,0.059158,0.035125,0.14378,0.19796,0.09471,0.17725,0.035176,0.20586,0.31559,0.21764,-0.015294,-0.0585,-0.13021,0.21886,0.17465,0.70967,0.75192,NaN,0.31073,0.57961,0.46969,0.37985,0.462,0.49397,0.45005,0.11927,0.24148,0.13351,0.056932,0.20168,0.21814,0.10202,0.27915,0.57064
PC,0.19193,0.19375,0.21981,0.24051,0.12658,0.25212,0.39623,0.42475,0.18655,0.15167,0.18272,0.26672,0.52629,0.30696,0.0089573,0.097088,0.31182,0.38361,0.17513,0.23828,0.31073,NaN,0.38348,0.40483,0.35413,0.31807,0.21703,0.22979,-0.0602,0.0101,0.32062,0.33451,0.13632,0.36633,0.21359,0.34627,0.71212
FOrbr,0.31438,0.33743,0.32844,0.30151,0.17103,0.2699,0.57621,0.49051,0.24478,0.15656,0.27458,0.30085,0.2917,0.011484,-0.23993,-0.096087,0.36804,0.23107,0.47295,0.57756,0.57961,0.38348,NaN,0.91055,0.35367,0.38583,0.37795,0.43374,-0.020578,0.07126,0.089169,0.11957,0.26579,0.27307,0.23189,0.11343,0.51263
FOrbl,0.40137,0.43032,0.44835,0.41524,0.30834,0.4653,0.69167,0.82652,0.075772,0.23176,0.35164,0.51796,0.36118,0.30352,-0.2447,-0.19374,0.50467,0.33885,0.30832,0.57307,0.46969,0.40483,0.91055,NaN,0.43732,0.56351,0.34259,0.46427,-0.079931,0.13782,0.17614,0.32752,0.29798,0.42612,0.27803,0.13109,0.55628
caudater,0.007958,0.065037,0.073136,0.095075,-0.056813,0.079808,0.17359,0.17639,-0.018227,0.021622,0.056482,0.25595,0.16925,0.075266,-0.076842,-0.11954,0.17229,0.12682,0.21316,0.22212,0.37985,0.35413,0.35367,0.43732,NaN,0.89635,0.68805,0.44753,0.056443,0.081906,0.13326,0.32293,0.21717,0.29778,0.33323,0.46277,0.30787
caudatel,0.18102,0.2634,0.24801,0.19971,-0.12269,0.13192,0.36134,0.3879,0.0072395,0.096642,0.10877,0.092853,0.18999,0.099475,-0.11303,-0.18397,0.13574,0.19199,0.19721,0.31332,0.462,0.31807,0.38583,0.56351,0.89635,NaN,0.54656,0.54388,0.065339,0.19145,0.14414,0.31843,0.21596,0.23364,0.21642,0.3705,0.39683
putamenr,0.055618,0.14457,0.16063,0.1472,-0.054505,0.16369,0.19609,0.18505,0.12002,0.16439,0.0012663,0.21773,0.01302,0.036796,-0.045866,-0.18385,0.28088,0.28092,0.43228,0.51933,0.49397,0.21703,0.37795,0.34259,0.68805,0.54656,NaN,1.0923,0.33019,0.20927,0.14343,0.21245,0.3173,0.44373,0.245,0.32773,0.34649
putamenl,0.24223,0.21927,0.27186,0.18765,0.039371,0.18297,0.29978,0.33283,0.16175,0.2541,-0.026113,0.2165,0.07372,0.13486,-0.01316,-0.10373,0.39064,0.36985,0.47336,0.61775,0.45005,0.22979,0.43374,0.46427,0.44753,0.54388,1.0923,NaN,0.2598,0.23056,0.084218,0.21059,0.31242,0.37718,0.15325,0.29001,0.41924
pallidumr,-0.03575,0.015805,-0.027811,-0.16732,0.048545,0.028092,0.0037768,-0.079262,0.13006,0.11268,-0.056006,0.0058522,-0.080782,-0.088154,0.11351,-0.032951,-0.023235,-0.095099,0.10696,0.12814,0.11927,-0.0602,-0.020578,-0.079931,0.056443,0.065339,0.33019,0.2598,NaN,0.11286,0.0062427,0.064598,0.048054,0.071957,0.043677,-0.036117,0.064026
palliduml,-0.11349,0.020658,-0.041146,-0.019182,0.13212,0.12364,-0.025218,-0.048516,-0.063518,0.061568,0.15919,0.06603,-0.03006,-0.091995,-0.24972,-0.31274,0.008231,0.015262,0.18961,0.2475,0.24148,0.0101,0.07126,0.13782,0.081906,0.19145,0.20927,0.23056,0.11286,NaN,-0.014797,0.20119,-0.090463,0.14051,-0.066415,-0.057032,0.087073
hippocampusr,0.195,0.20485,0.32447,0.24896,0.20739,0.22572,0.26656,0.15901,0.097252,-0.01888,0.14356,0.01451,0.090263,-0.029872,0.013083,-0.10985,0.18211,0.28798,0.099648,0.13488,0.13351,0.32062,0.089169,0.17614,0.13326,0.14414,0.14343,0.084218,0.0062427,-0.014797,NaN,0.68287,0.42969,0.50943,0.11021,0.35927,0.27867
hippocampusl,0.25355,0.22901,0.41411,0.30184,0.18188,0.33822,0.31386,0.29997,0.10878,0.17084,0.28244,0.15809,-0.021955,0.088932,-0.0011735,-0.15706,0.19708,0.26462,-0.070169,0.07284,0.056932,0.33451,0.11957,0.32752,0.32293,0.31843,0.21245,0.21059,0.064598,0.20119,0.68287,NaN,0.42618,0.63252,0.17134,0.44187,0.32464
amygdalar,0.29518,0.35939,0.36852,0.31671,0.15381,0.36119,0.38876,0.19716,0.0031168,-0.083265,0.076,0.17042,-0.020406,-0.074793,0.021672,-0.24653,0.28246,0.33232,0.38362,0.31196,0.20168,0.13632,0.26579,0.29798,0.21717,0.21596,0.3173,0.31242,0.048054,-0.090463,0.42969,0.42618,NaN,0.60366,0.20754,0.45906,0.29464
amygdalal,0.22736,0.34928,0.37029,0.38405,0.29023,0.40509,0.31599,0.34189,0.1766,0.20775,0.10621,0.25565,-0.026318,-0.0056456,-0.068892,-0.17722,0.3643,0.50022,0.39231,0.4101,0.21814,0.36633,0.27307,0.42612,0.29778,0.23364,0.44373,0.37718,0.071957,0.14051,0.50943,0.63252,0.60366,NaN,0.2454,0.38066,0.44252
NAccr,0.16832,0.20008,0.24467,0.27258,0.096775,0.052277,0.29522,0.30671,0.093701,-0.077734,-0.030976,0.04561,0.046675,0.18345,0.083653,0.066325,0.19097,0.22357,0.12834,0.11881,0.10202,0.21359,0.23189,0.27803,0.33323,0.21642,0.245,0.15325,0.043677,-0.066415,0.11021,0.17134,0.20754,0.2454,NaN,0.45423,0.14959
NAccl,0.24917,0.20987,0.31802,0.28725,-0.094082,0.034245,0.21497,0.16846,0.010961,-0.039203,-0.016214,0.077358,0.028399,0.0069344,-0.025594,-0.13114,0.31095,0.38657,0.22166,0.18858,0.27915,0.34627,0.11343,0.13109,0.46277,0.3705,0.32773,0.29001,-0.036117,-0.057032,0.35927,0.44187,0.45906,0.38066,0.45423,NaN,0.24174
mPFC,0.13744,0.20807,0.25715,0.17961,0.12035,0.36675,0.39895,0.446,0.074434,0.11901,0.23762,0.60607,0.35667,0.31021,-0.20491,-0.050025,0.20558,0.24113,0.19273,0.23669,0.57064,0.71212,0.51263,0.55628,0.30787,0.39683,0.34649,0.41924,0.064026,0.087073,0.27867,0.32464,0.29464,0.44252,0.14959,0.24174,NaN
