"","TR","SUBID","order","CONN_ID","stim_number","stim_name","artist","yearofrelease","liking","yearofbirth","familiarity","SSA","age_bin","TR_onset","second_onset","memory.evoking.","ID","PC_univ","HC_univ"
"39285",843,"DMET",15,30,3,"Like a Rolling Stone","Bob Dylan","1965",4,1951,4,14,"adolescence",841,399.475,"y (?)",8,208.7,184.99
"39286",843,"DMUN",15,25,14,"Nocturne in C Sharp minor","Chopin","",4,1968,4,NA,"",841,399.475,"",9,213.13,179.99
"39287",843,"EHER",15,16,24,"Manual Labor","Hubert Ho","",NA,1958,1,NA,"",841,399.475,"",10,239.45,240.03
"39288",843,"EKAS",15,28,4,"Patience","Tame Impala","2020",4,1957,4,63,"",841,399.475,"",11,209.89,193.67
"39289",843,"ELAR",15,21,7,"Adagio for Strings","Barber","",NA,1959,2,NA,"",841,399.475,"",12,243.57,180.85
"39290",843,"EROS",15,9,18,"Hoquetus II","Johannes Kretz","",NA,1961,1,NA,"",841,399.475,"",13,213.54,188.52
"39291",843,"FKEE",15,1,5,"Hey Jude","The Beatles","1970",NA,1963,4,7,"childhood",841,399.475,"",14,226.52,193.16
"39292",843,"GCAS",15,11,18,"Hoquetus II","Johannes Kretz","",NA,1947,1,NA,"",841,399.475,"",15,237.64,221.53
"39293",843,"GSHA",15,19,8,"Symphony No. 2 Finale","Mahler","",NA,1955,1,NA,"",841,399.475,"",16,223.02,175.69
"39294",843,"JDEN",15,27,22,"Simmer","Hubert Ho","",2,1968,1,NA,"",841,399.475,"",17,213.54,197.63
"39295",843,"JKAY",15,13,22,"Simmer","Hubert Ho","",NA,1950,0,NA,"",841,399.475,"",18,232.44,198.74
"39296",843,"JPRE",15,6,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",4,1944,4,NA,"",841,399.475,"",19,207.6,168.6
"39297",843,"JSCH",15,2,2,"My Old School","Steely Dan","1973",NA,1951,4,22,"adulthood",841,399.475,"",20,227.92,213.67
"39298",843,"LDIR",15,5,9,"Cavatina Op. 130","Beethoven","",NA,1956,1,NA,"",841,399.475,"",21,219.73,179.86
"39299",843,"LGEN",15,3,8,"Symphony No. 2 Finale","Mahler","",NA,1955,3,NA,"",841,399.475,"",22,214.22,149.17
"39300",843,"LJAC",15,17,24,"Manual Labor","Hubert Ho","",NA,1952,1,NA,"",841,399.475,"",23,246.43,193.74
"39301",843,"LOLE",15,14,6,"The Frst Time I Ever Saw Your Face","Peter, Paul, and Mary","1965",NA,1946,4,19,"",841,399.475,"",24,231.61,190.75
"39302",843,"MBLO",15,8,13,"Reckoner","Radiohead","",NA,1953,2,NA,"",841,399.475,"",25,231.13,208.81
"39303",843,"MCOR",15,31,6,"Kalu","Dalva de Oliveira","1952",3,1964,4,-12,"",841,399.475,"",35,225.2,205.7
"39304",843,"NLEN",15,24,24,"Manual Labor","Hubert Ho","",3,1942,2,NA,"",841,399.475,"",26,196.75,176.65
"39305",843,"OADE",15,29,22,"Africa","Toto","1982",4,1970,4,12,"childhood",841,399.475,"y",27,229.25,216.33
"39306",843,"SCAE",15,15,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1965,4,-1,"",841,399.475,"",28,238.33,177.17
"39307",843,"TCIE",15,10,20,"Beyond the Horizon","Georg Hajdu","",NA,1960,2,NA,"",841,399.475,"",29,214.65,165.71
"39308",843,"TSTA",15,23,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1959,4,5,"childhood",841,399.475,"",30,236.59,188.48
"39309",844,"190904GHER1",15,4,14,"Nocturne in C Sharp minor","Chopin","",NA,1953,3,NA,"",841,399.475,"",1,204.6,189.27
"39310",844,"220914GHER1",15,26,15,"Nessun Dorma","Bocelli","",1,1952,2,NA,"",841,399.475,"",2,244.87,189.35
"39311",844,"AEHR",15,20,7,"Adagio for Strings","Barber","",NA,1960,1,NA,"",841,399.475,"",3,230.89,214.97
"39312",844,"ASHA",15,18,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",NA,1951,2,NA,"",841,399.475,"",4,211.35,164.57
"39313",844,"BFOR",15,22,10,"John Wayne Gacy Jr.","Sufjan Stevens","",NA,1944,1,NA,"",841,399.475,"",5,211.53,166.01
"39314",844,"CWEI",15,7,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1941,4,23,"adulthood",841,399.475,"",6,208.3,163.36
"39315",844,"DFAI",15,12,8,"Symphony No. 2 Finale","Mahler","",NA,1953,1,NA,"",841,399.475,"",7,247.58,202.21
"39316",844,"DMET",15,30,3,"Like a Rolling Stone","Bob Dylan","1965",4,1951,4,14,"adolescence",841,399.475,"y (?)",8,209.05,187.39
"39317",844,"DMUN",15,25,14,"Nocturne in C Sharp minor","Chopin","",4,1968,4,NA,"",841,399.475,"",9,212.17,180.63
"39318",844,"EHER",15,16,24,"Manual Labor","Hubert Ho","",NA,1958,1,NA,"",841,399.475,"",10,239.79,242.26
"39319",844,"EKAS",15,28,4,"Patience","Tame Impala","2020",4,1957,4,63,"",841,399.475,"",11,208.44,192.51
"39320",844,"ELAR",15,21,7,"Adagio for Strings","Barber","",NA,1959,2,NA,"",841,399.475,"",12,244.49,180.52
"39321",844,"EROS",15,9,18,"Hoquetus II","Johannes Kretz","",NA,1961,1,NA,"",841,399.475,"",13,213.3,186.33
"39322",844,"FKEE",15,1,5,"Hey Jude","The Beatles","1970",NA,1963,4,7,"childhood",841,399.475,"",14,226.62,186.88
"39323",844,"GCAS",15,11,18,"Hoquetus II","Johannes Kretz","",NA,1947,1,NA,"",841,399.475,"",15,238.65,220.33
"39324",844,"GSHA",15,19,8,"Symphony No. 2 Finale","Mahler","",NA,1955,1,NA,"",841,399.475,"",16,222.76,176.17
"39325",844,"JDEN",15,27,22,"Simmer","Hubert Ho","",2,1968,1,NA,"",841,399.475,"",17,212.54,195.06
"39326",844,"JKAY",15,13,22,"Simmer","Hubert Ho","",NA,1950,0,NA,"",841,399.475,"",18,233.13,200.79
"39327",844,"JPRE",15,6,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",4,1944,4,NA,"",841,399.475,"",19,208,167.59
"39328",844,"JSCH",15,2,2,"My Old School","Steely Dan","1973",NA,1951,4,22,"adulthood",841,399.475,"",20,226.87,209.71
"39329",844,"LDIR",15,5,9,"Cavatina Op. 130","Beethoven","",NA,1956,1,NA,"",841,399.475,"",21,218.41,177.5
"39330",844,"LGEN",15,3,8,"Symphony No. 2 Finale","Mahler","",NA,1955,3,NA,"",841,399.475,"",22,214.1,148.82
"39331",844,"LJAC",15,17,24,"Manual Labor","Hubert Ho","",NA,1952,1,NA,"",841,399.475,"",23,246.16,192.11
"39332",844,"LOLE",15,14,6,"The Frst Time I Ever Saw Your Face","Peter, Paul, and Mary","1965",NA,1946,4,19,"",841,399.475,"",24,232.04,192.86
"39333",844,"MBLO",15,8,13,"Reckoner","Radiohead","",NA,1953,2,NA,"",841,399.475,"",25,231.01,207.19
"39334",844,"MCOR",15,31,6,"Kalu","Dalva de Oliveira","1952",3,1964,4,-12,"",841,399.475,"",35,225.52,204.16
"39335",844,"NLEN",15,24,24,"Manual Labor","Hubert Ho","",3,1942,2,NA,"",841,399.475,"",26,197.49,173.32
"39336",844,"OADE",15,29,22,"Africa","Toto","1982",4,1970,4,12,"childhood",841,399.475,"y",27,229.7,215.34
"39337",844,"SCAE",15,15,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1965,4,-1,"",841,399.475,"",28,238.71,179.35
"39338",844,"TCIE",15,10,20,"Beyond the Horizon","Georg Hajdu","",NA,1960,2,NA,"",841,399.475,"",29,215,166.54
"39339",844,"TSTA",15,23,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1959,4,5,"childhood",841,399.475,"",30,237.37,184.37
"39340",845,"190904GHER1",15,4,14,"Nocturne in C Sharp minor","Chopin","",NA,1953,3,NA,"",841,399.475,"",1,204.56,187.42
"39341",845,"220914GHER1",15,26,15,"Nessun Dorma","Bocelli","",1,1952,2,NA,"",841,399.475,"",2,245.33,188.38
"39342",845,"AEHR",15,20,7,"Adagio for Strings","Barber","",NA,1960,1,NA,"",841,399.475,"",3,230.42,218.77
"39343",845,"ASHA",15,18,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",NA,1951,2,NA,"",841,399.475,"",4,210.88,164.94
"39344",845,"BFOR",15,22,10,"John Wayne Gacy Jr.","Sufjan Stevens","",NA,1944,1,NA,"",841,399.475,"",5,211.62,164.91
"39345",845,"CWEI",15,7,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1941,4,23,"adulthood",841,399.475,"",6,208.11,160.48
"39346",845,"DFAI",15,12,8,"Symphony No. 2 Finale","Mahler","",NA,1953,1,NA,"",841,399.475,"",7,248.26,202.05
"39347",845,"DMET",15,30,3,"Like a Rolling Stone","Bob Dylan","1965",4,1951,4,14,"adolescence",841,399.475,"y (?)",8,210.48,185.14
"39348",845,"DMUN",15,25,14,"Nocturne in C Sharp minor","Chopin","",4,1968,4,NA,"",841,399.475,"",9,212.61,177.6
"39349",845,"EHER",15,16,24,"Manual Labor","Hubert Ho","",NA,1958,1,NA,"",841,399.475,"",10,239.21,239.15
"39350",845,"EKAS",15,28,4,"Patience","Tame Impala","2020",4,1957,4,63,"",841,399.475,"",11,209.13,193.51
"39351",845,"ELAR",15,21,7,"Adagio for Strings","Barber","",NA,1959,2,NA,"",841,399.475,"",12,244.68,181.52
"39352",845,"EROS",15,9,18,"Hoquetus II","Johannes Kretz","",NA,1961,1,NA,"",841,399.475,"",13,213.88,188.29
