SUBID,roi_order
190904GHER1,1
220914GHER1,2
AEHR,3
ASHA,4
BFOR,5
CWEI,6
DFAI,7
DMET,8
DMUN,9
EHER,10
EKAS,11
ELAR,12
EROS,13
FKEE,14
GCAS,15
GSHA,16
JKAY,17
JPRE,18
JSCH,19
LDIR,20
LGEN,21
LJAC,22
LOLE,23
MBLO,24
NLEN,25
SCAE,26
TCIE,27
TSTA,28
